Name,Organization,Location
Dongdong She,(Columbia University),
Kexin Pei,(Columbia University),
Dave Epstein,(Columbia University),
Junfeng Yang,(Columbia University),
Baishakhi Ray,(Columbia University),
Suman Jana,(Columbia University),
Bolun Wang,(UC Santa Barbara),
Yuanshun Yao,(University of Chicago),
Shawn Shan,(University of Chicago),
Huiying Li,(University of Chicago),
Bimal Viswanath,(Virginia Tech),
Haitao Zheng,(University of Chicago),
Ben Y. Zhao,(University of Chicago),
Ivan Damgård,(Aarhus University),
Daniel Escudero,(Aarhus University),
Tore Frederiksen,(Alexandra Institute),
Marcel Keller,(Data61),
Peter Scholl,(Aarhus University),
Nikolaj Volgushev,(Alexandra Institute),
Muoi Tran,(National University of Singapore),
Min Suk Kang,(National University of Singapore),
Hsu-Chun Hsiao,(National Taiwan University),
Wei-Hsuan Chiang,(National Taiwan University),
Shu-Po Tung,(National Taiwan University),
Yu-Su Wang,(National Taiwan University),
Manu Drijvers,"(DFINITY, ETH Zurich)",
Kasra Edalatnejad,(EPFL),
Bryan Ford,(EPFL),
